customer_id,customer_name,email,phone,plan_id,plan_name,plan_price,meals_per_day,signup_date,is_active,loyalty_tier,loyalty_points,lifetime_loyalty_points,rfm_segment,recency_score,frequency_score,monetary_score,total_orders,total_spend,last_order_date,days_since_last_order,customer_lifespan_days
CUST-00010,Kristin Garcia,andrea42@example.net,993-221-4958x7020,PLAN-PPO,Pay-Per-Order,0.0,0,2025-06-25,True,PLATINUM,6039,6039,CHAMPION,4,5,5,26,605.85,2026-01-27,56,232
CUST-00050,Justin Johnson,tiffany25@example.com,+1-928-741-0672,PLAN-PM,Premium Monthly,89.99,2,2025-07-26,True,GOLD,3590,4977,CHAMPION,5,4,5,18,499.05,2026-01-28,55,236
CUST-00055,Denise Thompson,wpage@example.org,626.948.7049,PLAN-BM,Basic Monthly,49.99,1,2025-06-02,True,GOLD,2017,2575,CHURNED,2,1,1,10,258.25,2026-01-18,65,213
CUST-00068,Alicia Gallagher,hbeard@example.com,856.477.0028x427,PLAN-PPO,Pay-Per-Order,0.0,0,2025-11-21,True,GOLD,4656,4656,LOYAL,3,4,4,19,467.11,2026-01-21,62,225
CUST-00076,Matthew Johnson,josephjohnson@example.com,+1-382-807-0015x9416,PLAN-PM,Premium Monthly,89.99,2,2025-09-28,True,GOLD,2471,3210,NEW_CUSTOMER,4,2,2,15,322.18,2026-01-25,58,223
CUST-00082,James Davenport,andrewjohnson@example.net,+1-693-417-3420x6969,PLAN-PM,Premium Monthly,89.99,2,2025-08-18,True,GOLD,2995,3103,CHURNED,1,1,2,12,311.2,2025-12-07,107,183
CUST-00119,Dr. Kimberly Henderson,dwilliams@example.net,620-207-4946x5398,PLAN-CM,Corporate Monthly,149.99,3,2025-08-19,True,PLATINUM,4714,5232,CHAMPION,5,4,5,18,524.55,2026-01-30,53,215
CUST-00146,Stephen Medina,wolfejennifer@example.org,568.215.1185x6724,PLAN-PM,Premium Monthly,89.99,2,2025-12-07,True,GOLD,3778,3970,LOYAL,3,3,3,15,398.14,2026-01-19,64,217
CUST-00176,Laura Hill,bauerherbert@example.com,+1-964-392-1518x2606,PLAN-BM,Basic Monthly,49.99,1,2025-06-05,True,GOLD,3967,4156,NEW_CUSTOMER,4,2,3,14,416.6,2026-01-24,59,224
CUST-00221,Brandon Owens,lrodriguez@example.net,966-536-5155,PLAN-PM,Premium Monthly,89.99,2,2025-08-23,True,GOLD,3129,4403,AT_RISK,1,3,4,17,441.59,2026-01-01,82,211
CUST-00225,Ricky Craig,abigail07@example.org,+1-779-510-3368x2963,PLAN-PM,Premium Monthly,89.99,2,2025-09-15,True,PLATINUM,4108,5473,LOYAL,3,5,5,22,548.99,2026-01-18,65,230
CUST-00230,Cheryl Newman,solisbecky@example.org,+1-862-665-8263x1281,PLAN-CM,Corporate Monthly,149.99,3,2025-07-22,True,GOLD,3069,3774,LOYAL,5,3,3,16,378.66,2026-01-30,53,230
CUST-00276,Kelly Torres,davidhardy@example.org,6378710704,PLAN-PM,Premium Monthly,89.99,2,2025-12-13,True,GOLD,3528,4598,AT_RISK,1,4,4,17,461.04,2026-01-01,82,206
